Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Gender_F,Gender_M
-0.9256049813911454,5,-0.6701198555855374,-0.3786802024647733,1,-0.392911276383654,0.31190126626315473,0,0,0,0,1,0,0,1,1,0
1.6971080600195534,3,-0.17324572460163817,0.273631289604048,2,-0.6389684502137505,0.5326056475149048,1,0,0,0,0,0,0,1,1,0
-1.7998426618613785,5,1.379485934723047,-0.3786802024647733,2,-0.4544255698411781,-1.5851782213384533,0,0,0,1,0,0,0,1,0,1
0.8228703795493204,5,0.1787067848452905,-1.0309916945335944,2,-0.5774541567562264,0.40605216574451075,0,0,1,0,0,0,0,1,0,1
1.6971080600195534,3,1.7728446217519673,0.273631289604048,1,-0.5774541567562264,-1.207351884458726,0,0,1,0,0,1,0,0,1,0
-0.05136730092091252,3,0.013082074517324072,0.273631289604048,2,1.6370604077146425,-0.31719792572590577,0,0,1,0,0,0,0,1,0,1
-0.9256049813911454,3,-1.3740248744793948,-1.0309916945335944,1,-0.4544255698411781,1.448437124288095,0,0,0,0,1,0,0,1,0,1
-0.9256049813911454,3,1.0275334252761184,-1.0309916945335944,1,-0.33139698292612985,1.0742790042712775,0,1,0,0,0,0,0,1,0,1
0.8228703795493204,5,0.6962840046201856,-0.3786802024647733,1,-0.2698826894686057,1.265637650619748,0,1,0,0,0,0,0,1,0,1
-0.05136730092091252,3,0.4685500279192317,0.9259427816728693,1,-0.5774541567562264,-1.196347233869996,0,0,0,0,1,0,0,1,0,1
-0.05136730092091252,1,0.22011296242728212,-0.3786802024647733,1,-0.6389684502137505,-0.6595648329308367,0,0,1,0,0,0,0,1,1,0
0.8228703795493204,2,1.0275334252761184,1.5782542737416905,0,-0.20836839601108156,0.28255553135987493,0,1,0,0,0,0,1,0,0,1
-1.7998426618613785,3,-1.0634785426144577,-0.3786802024647733,2,2.9903748637801737,-1.5289322294405003,0,0,1,0,0,0,0,1,0,1
-0.05136730092091252,2,-0.7736352995405165,-0.3786802024647733,2,-0.4544255698411781,0.8181151933447312,0,0,0,0,1,0,1,0,0,1
-0.05136730092091252,1,-1.6017588511803487,-1.0309916945335944,2,-0.33139698292612985,0.39871573201869076,0,0,0,0,1,0,0,1,0,1
-1.7998426618613785,3,-1.4361341408523822,0.273631289604048,2,-0.33139698292612985,0.6585477598081473,1,0,0,0,0,0,0,1,0,1
